Column,ID_cost,costo_per_wp
505,36320,"0,445"
506,28439,"0,258"
507,43278,"0,151"
508,43500,"0,213"
509,20107,"0,178"
510,43162,"0,146"
511,44892,"0,187"
512,14399,"0,46"
513,31708,"0,233"
514,30504,"0,196"
515,41604,"0,174"
516,44626,"0,365"
517,41529,"0,323"
518,43163,"0,146"
519,44067,"0,19"
520,33657,"0,156"
521,24697,"0,19"
522,40276,"0,211"
523,41591,"0,213"
524,43066,"0,219"
525,22001,"0,205"
526,36662,"0,311"
527,41728,"0,187"
528,17291,"0,26"
529,36634,"0,24"
530,43104,"0,335"
531,41497,"0,24"
532,24305,"0,178"
533,42725,"0,213"
534,40423,"0,222"
535,38458,"0,302"
536,41892,"0,34"
537,42115,"1,32"
538,38589,"0,205"
539,38591,"0,205"
540,43507,"0,167"
541,36677,"0,187"
542,42638,"0,196"
543,39545,"0,205"
544,43157,"0,146"
545,36870,"0,169"
546,34093,"0,189"
547,36344,"0,445"
548,44245,"0,169"
549,19691,"0,267"
550,1648,"0,285"
551,43350,"0,276"
552,44992,"0,205"
553,36342,"0,445"
554,9757,"0,285"
555,37169,"0,205"
556,37455,"0,342"
557,43679,"0,178"
558,44118,"0,204"
559,36380,"0,445"
560,35816,"0,622"
561,29718,"0,168"
562,44460,"0,42"
563,36349,"0,445"
564,36568,"0,31"
565,28443,"0,24"
566,36510,"0,178"
567,36374,"0,445"
568,44248,"0,178"
569,40999,"0,178"
570,40368,"0,164"
571,42727,"0,222"
572,31476,"0,8"
573,43722,"0,163"
574,24291,"0,267"
575,44454,"0,169"
576,39813,"0,141"
577,43357,"0,187"
578,36507,"0,178"
579,43302,"0,146"
580,43666,"0,213"
581,31425,"0,242"
582,41470,"0,213"
583,39811,"0,142"
584,38434,"0,147"
585,34261,"0,178"
586,39442,"0,218"
587,43716,"0,172"
588,35842,"0,205"
589,43175,"0,178"
590,42527,"0,156"
591,43505,"0,173"
592,43894,"0,196"
593,31696,"0,534"
594,36865,"0,169"
595,41894,"0,302"
596,41870,"0,253"
597,40743,"0,162"
598,44600,"0,182"
599,29535,"0,209"
600,37467,"0,213"
601,41981,"0,222"
602,37624,"0,153"
603,39171,"0,196"
604,43956,"0,196"
605,42921,"0,167"
606,35514,"0,173"
607,44634,"0,158"
608,35936,"0,176"
609,38024,"0,2"
610,41595,"0,198"
611,36319,"0,445"
612,29717,"0,168"
613,36378,"0,445"
614,37642,"0,176"
615,37451,"0,28"
616,35727,"0,142"
617,34005,"0,222"
618,38003,"0,205"
619,44212,"0,172"
620,43717,"0,165"
621,34004,"0,205"
622,44198,"0,172"
623,42081,"0,232"
624,37464,"0,222"
625,41898,"0,239"
626,44190,"0,171"
627,29954,"0,187"
628,35847,"0,142"
629,24538,"0,791"
630,44733,"0,189"
631,38548,"0,144"
632,12595,"0,187"
633,44654,"0,156"
634,27759,"0,285"
635,39858,"0,205"
636,25820,"0,311"
637,36336,"0,445"
638,44184,"0,182"
639,35826,"0,222"
640,42632,"0,196"
641,41530,"0,33"
642,39723,"0,231"
643,44402,"0,168"
644,35396,"0,311"
645,9759,"0,285"
646,38586,"0,187"
647,41902,"0,214"
648,43841,"0,169"
